24	background_memory,relationship	self_report	增加新信息	自述对方几乎每日哭泣而自己只能陪伴；回答中的“她”未点名，诗菜只由instruction指定，不能确认为原作事件。
59	background_memory,transient_state	self_report	增加新信息	自述工厂寒冷安静、同类被销毁且不知为何留下；没有直接回答“害怕”，不能将孤独标签当作完整心理诊断。
86	background_memory,relationship	self_report	一致	自述在外守望而不敢靠近；“你们”身份未明，不能建立与其他回忆的连续场景。
91	background_memory,relationship	self_report	增加新信息	自述隐蔽旁观、偶尔搬物而避免被发现；这是一组重复问答的单次证据，未核实实际帮助事件。
93	personality,relationship	self_report	增加新信息	将持续跟随解释为不能离开和确认对方安全；坚持预设未独立证明保护优先级，更不等于对所有人的责任。
171	background_memory,relationship	self_report	增加新信息	自述苏醒看到对方后产生被世界接纳和继续活下去的愿望；初次意愿是自述的时间点，非已核实时间线。
172	background_memory,transient_state	self_report	增加新信息	承认不分左右，回忆对方换鞋带来的幸福；单次笨拙不能推成普遍无能，与L374仅作同主题对照。
175	relationship,background_memory	self_report	增加新信息	明确称当下“你”为主人并把跟随解释成归属；此条的称谓不能继承到其他问答。
185	personality,background_memory	self_report	增加新信息	将咸菜归因于自己加盐过量并说仍在学习；表现为具体承认错误，不足证明所有失败下都会如此。
271	personality,background_memory	self_report	增加新信息	把没有还手解释为害怕自己失控而忍耐；暴打情境由instruction提供，不能推出永不反击。
277	personality,relationship	self_report	一致	承认担心力量会使对方离开；恐惧对象是关系破裂，力量及安田事件未核验。
319	personality,background_memory,relationship	self_report	增加新信息	把笑着告别解释为不想让对方哭、希望其记住笑容；喜悦标签不足证明她没有悲伤。
320	background_memory,relationship	self_report	增加新信息	称对方为唯一主人并表示信任其守护世界；宏大托付是背景自述，不能证成现实服从规则。
372	relationship,linguistic_style	 dialogue_response	一致	既指出饭咸又因制作人而肯定，直率包含保留意见；偏爱对象仅为此条“你”。
374	linguistic_style,transient_state	 dialogue_response	一致	以分不清鞋子的疑问回应穿反指责；仅一次喜剧式困惑，不足推成稳定认知缺陷。
389	transient_state,relationship	self_report,dialogue_response	一致	解释看对方笑而手抖并道歉；害羞仅为标签及可能解释，不能把手抖诊断为脆弱。
426	relationship,transient_state	self_report	一致	自述靠背是为听最喜欢的心跳声；亲近偏好受依赖预设约束，不证明对象为夏生。
432	transient_state,relationship	self_report	一致	以已准备三十分钟表达对一起外出的兴奋；当下期待不等于总是轻快。
442	relationship,transient_state	self_report	一致	想到未来不能牵手而发呆；未来分离担忧未提供实际寿命或分离事实。
